# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.683339,-1.878198,5.074,5.271
0.151452,2.772507,5.099,5.295
1.986397,7.423128,5.125,5.319
3.821455,12.073677,5.150,5.343
5.656587,16.724166,5.175,5.367
7.491752,21.374607,5.200,5.391
9.326909,26.025014,5.226,5.415
11.162019,30.675397,5.251,5.439
12.997042,35.325770,5.276,5.462
14.831936,39.976144,5.301,5.486
16.666662,44.626532,5.327,5.510
18.501180,49.276946,5.352,5.534
20.335449,53.927398,5.377,5.558
22.169429,58.577901,5.402,5.582
24.003080,63.228467,5.428,5.606
25.836362,67.879107,5.453,5.630
27.669244,72.529833,5.478,5.654
29.501738,77.180644,5.503,5.678
31.333865,81.831537,5.529,5.702
33.165645,86.482511,5.554,5.726
34.997100,91.133563,5.579,5.750
36.828251,95.784691,5.604,5.774
38.659117,100.435894,5.630,5.798
40.489721,105.087167,5.655,5.822
42.320083,109.738510,5.680,5.845
44.150224,114.389921,5.706,5.869
45.980165,119.041396,5.731,5.893
47.809927,123.692934,5.756,5.917
49.639531,128.344532,5.781,5.941
51.468997,132.996189,5.807,5.965
53.298346,137.647901,5.832,5.989
55.127600,142.299668,5.857,6.013
56.956780,146.951486,5.882,6.037
58.785905,151.603353,5.908,6.061
60.614998,156.255268,5.933,6.085
62.444078,160.907227,5.958,6.109
64.273168,165.559229,5.983,6.133
66.102287,170.211271,6.009,6.157
67.931458,174.863352,6.034,6.181
69.760699,179.515468,6.059,6.205
71.590034,184.167619,6.084,6.229
73.419481,188.819800,6.110,6.252
75.249063,193.472011,6.135,6.276
77.078801,198.124249,6.160,6.300
78.908714,202.776512,6.185,6.324
80.738825,207.428798,6.211,6.348
82.569153,212.081104,6.236,6.372
84.399720,216.733428,6.261,6.396
86.230547,221.385768,6.286,6.420
88.061655,226.038121,6.312,6.444
89.893064,230.690486,6.337,6.468
91.724795,235.342861,6.362,6.492
93.556870,239.995242,6.388,6.516
95.389309,244.647628,6.413,6.540
97.222133,249.300016,6.438,6.564
99.055363,253.952405,6.463,6.588
100.889021,258.604792,6.489,6.612
102.723126,263.257175,6.514,6.635
104.557699,267.909552,6.539,6.659
106.392763,272.561920,6.564,6.683
108.228337,277.214277,6.590,6.707
110.064442,281.866621,6.615,6.731
111.901100,286.518949,6.640,6.755
113.738331,291.171261,6.665,6.779
115.576156,295.823552,6.691,6.803
117.414596,300.475821,6.716,6.827
119.253672,305.128067,6.741,6.851
121.093405,309.780286,6.766,6.875
122.933816,314.432476,6.792,6.899
124.774925,319.084635,6.816,6.923
126.651699,323.714334,6.669,7.006
128.738887,328.209430,6.522,7.089
131.246183,332.435357,6.522,6.226
134.379060,336.257639,6.092,6.062
138.182494,339.545392,5.677,6.289
142.495039,342.172347,5.848,6.230
147.141834,344.013044,6.038,6.065
151.981474,345.037089,5.885,6.029
156.945280,345.420747,6.132,5.821
